foot speed stride_length step_width cadence
0 1.260159 1.32997 0.074411 112.676056
0 1.405369 1.48178 0.113071 114.285714
0 1.15723 1.189882 0.049124 118.032787
1 1.139344 1.173007 0.119031 118.032787
1 0.859974 1.343368 0.099116 77.419355
0 0.698705 1.199202 0.048257 69.565217
1 0.886965 1.02468 0.119212 104.347826
1 1.525374 1.293537 0.13192 138.461538
0 1.270756 1.210138 0.111381 126.315789
0 0.865984 1.352194 0.090273 77.419355
1 0.841638 1.132826 0.102326 89.88764
0 0.989146 0.937446 0.078936 126.315789
0 1.377392 1.494064 0.102774 109.589041
0 0.885285 1.102735 0.084884 96
0 1.187749 1.112966 0.13663 126.315789
0 1.305408 1.353349 0.128173 114.285714
1 1.541569 1.634824 0.103227 112.676056
0 0.859209 1.147687 0.084465 90.566038
0 0.793251 1.185674 0.078981 81.911263
0 1.771842 1.503808 0.080872 143.712575
1 1.495647 1.541243 0.091276 116.129032
1 1.853748 1.73603 0.117074 127.659574
0 0.97283 1.314348 0.10779 87.804878
